report_id,report_date,report_type,report_title,report_source,chemical_name,region,report_summary,report_content,file_path,author
59,2025-10-29,ANALYST_REPORT,Polymers Market Update: Latin America - October 2025,Wood Mackenzie,HDPE Film Grade,Latin America,"Price assessment: HDPE Film Grade CFR Latin America is trading at $1428/MT, increased $68/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feedstock m...","Price assessment: HDPE Film Grade CFR Latin America is trading at $1428/MT, increased $68/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2025-10.pdf,Michael Williams
60,2025-10-29,MARKET_OUTLOOK,Polymers Market Update: Asia Pacific - October 2025,ICIS,Polypropylene Copolymer,Asia Pacific,Demand for Polypropylene Copolymer in Asia Pacific has decreased by 3.0% compared to the same period last year. Key end-use sectors driving this trend include packaging and textiles. Inventory levels ...,Demand for Polypropylene Copolymer in Asia Pacific has decreased by 3.0% compared to the same period last year. Key end-use sectors driving this trend include packaging and textiles. Inventory levels at converters remain high.,@MARKET_DOCUMENTS/Polymers/2025-10.pdf,Sarah Johnson
61,2025-10-29,TRADE_JOURNAL,Olefins Market Update: Asia Pacific - October 2025,Wood Mackenzie,Propylene Chemical Grade,Asia Pacific,"Price assessment: Propylene Chemical Grade CFR Asia Pacific is trading at $1755/MT, remained stable $19/MT from last week. Market participants expect prices to remain stable in the coming weeks based ...","Price assessment: Propylene Chemical Grade CFR Asia Pacific is trading at $1755/MT, remained stable $19/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Olefins/2025-10.pdf,John Chen
62,2025-11-04,EARNINGS_CALL,Olefins Market Update: Europe - November 2025,Platts,Ethylene,Europe,The spread between Ethylene and feedstock naphtha has widened to $321/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded....,The spread between Ethylene and feedstock naphtha has widened to $321/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Olefins/2025-11.pdf,Michael Chen
63,2025-11-04,TRADE_JOURNAL,Polymers Market Update: Middle East - November 2025,IHS Markit,PVC Suspension Grade,Middle East,The spread between PVC Suspension Grade and feedstock naphtha has narrowed to $253/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded....,The spread between PVC Suspension Grade and feedstock naphtha has narrowed to $253/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Polymers/2025-11.pdf,Emily Chen
64,2025-11-04,ANALYST_REPORT,Olefins Market Update: Asia Pacific - November 2025,Platts,Propylene Chemical Grade,Asia Pacific,"Price assessment: Propylene Chemical Grade CFR Asia Pacific is trading at $1379/MT, remained stable $-24/MT from last week. Market participants expect prices to soften in the coming weeks based on fee...","Price assessment: Propylene Chemical Grade CFR Asia Pacific is trading at $1379/MT, remained stable $-24/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Olefins/2025-11.pdf,Michael Johnson
65,2025-11-10,ANALYST_REPORT,Intermediates Market Update: Latin America - November 2025,Wood Mackenzie,Monoethylene Glycol,Latin America,The spread between Monoethylene Glycol and feedstock naphtha has narrowed to $357/MT. Producers report margins are healthy. Contract negotiations for next quarter are contentious....,The spread between Monoethylene Glycol and feedstock naphtha has narrowed to $357/MT. Producers report margins are healthy. Contract negotiations for next quarter are contentious.,@MARKET_DOCUMENTS/Intermediates/2025-11.pdf,Emily Johnson
66,2025-11-10,SUPPLY_ANALYSIS,Aromatics Market Update: Middle East - November 2025,Morgan Stanley,Styrene Monomer,Middle East,Supply constraints for Styrene Monomer in Middle East are expected to persist through Q4. Key factors include planned maintenance at 3 major facilities and unexpected outages in the upstream naphtha s...,Supply constraints for Styrene Monomer in Middle East are expected to persist through Q4. Key factors include planned maintenance at 3 major facilities and unexpected outages in the upstream naphtha supply chain. Prices have risen 2.4% week-over-week.,@MARKET_DOCUMENTS/Aromatics/2025-11.pdf,Emily Smith
67,2025-11-10,ANALYST_REPORT,Polymers Market Update: Middle East - November 2025,ChemWeek,LDPE Injection Grade,Middle East,"Price assessment: LDPE Injection Grade CFR Middle East is trading at $1328/MT, decreased $-1/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feedstoc...","Price assessment: LDPE Injection Grade CFR Middle East is trading at $1328/MT, decreased $-1/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2025-11.pdf,Emily Chen
68,2025-11-10,MARKET_OUTLOOK,Polymers Market Update: Asia Pacific - November 2025,Goldman Sachs,LLDPE C4,Asia Pacific,Demand for LLDPE C4 in Asia Pacific has decreased by -3.8% compared to the same period last year. Key end-use sectors driving this trend include electronics and medical. Inventory levels at converters...,Demand for LLDPE C4 in Asia Pacific has decreased by -3.8% compared to the same period last year. Key end-use sectors driving this trend include electronics and medical. Inventory levels at converters remain low.,@MARKET_DOCUMENTS/Polymers/2025-11.pdf,Emily Williams
69,2025-11-16,ANALYST_REPORT,Aromatics Market Update: Europe - November 2025,Platts,Toluene,Europe,The spread between Toluene and feedstock naphtha has widened to $170/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded....,The spread between Toluene and feedstock naphtha has widened to $170/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Aromatics/2025-11.pdf,Michael Williams
70,2025-11-16,SUPPLY_ANALYSIS,Intermediates Market Update: North America - November 2025,ChemWeek,Monoethylene Glycol,North America,Supply constraints for Monoethylene Glycol in North America are expected to persist through Q4. Key factors include planned maintenance at 4 major facilities and unexpected outages in the upstream nap...,Supply constraints for Monoethylene Glycol in North America are expected to persist through Q4. Key factors include planned maintenance at 4 major facilities and unexpected outages in the upstream naphtha supply chain. Prices have risen 13.8% week-over-week.,@MARKET_DOCUMENTS/Intermediates/2025-11.pdf,Emily Williams
71,2025-11-16,EARNINGS_CALL,Polymers Market Update: Latin America - November 2025,Wood Mackenzie,Polypropylene Copolymer,Latin America,"Price assessment: Polypropylene Copolymer CFR Latin America is trading at $1882/MT, decreased $7/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedsto...","Price assessment: Polypropylene Copolymer CFR Latin America is trading at $1882/MT, decreased $7/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2025-11.pdf,Emily Chen
72,2025-11-16,SUPPLY_ANALYSIS,Polymers Market Update: Europe - November 2025,ICIS,Polystyrene GPPS,Europe,The Europe Polystyrene GPPS market is experiencing tightness due to reduced imports from Asia. Local producers are operating at 87% capacity utilization. Spot availability is limited with premiums of ...,The Europe Polystyrene GPPS market is experiencing tightness due to reduced imports from Asia. Local producers are operating at 87% capacity utilization. Spot availability is limited with premiums of $62/MT over contract prices.,@MARKET_DOCUMENTS/Polymers/2025-11.pdf,Michael Smith
73,2025-11-22,TRADE_JOURNAL,Polymers Market Update: North America - November 2025,ICIS,LLDPE C4,North America,The spread between LLDPE C4 and feedstock naphtha has stabilized to $155/MT. Producers report margins are healthy. Contract negotiations for next quarter are ongoing....,The spread between LLDPE C4 and feedstock naphtha has stabilized to $155/MT. Producers report margins are healthy. Contract negotiations for next quarter are ongoing.,@MARKET_DOCUMENTS/Polymers/2025-11.pdf,John Williams
74,2025-11-22,TRADE_JOURNAL,Polymers Market Update: Latin America - November 2025,ChemWeek,Polypropylene Homopolymer,Latin America,"Price assessment: Polypropylene Homopolymer CFR Latin America is trading at $1318/MT, decreased $-12/MT from last week. Market participants expect prices to soften in the coming weeks based on feedsto...","Price assessment: Polypropylene Homopolymer CFR Latin America is trading at $1318/MT, decreased $-12/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2025-11.pdf,John Smith
75,2025-11-22,SUPPLY_ANALYSIS,Olefins Market Update: North America - November 2025,Goldman Sachs,Butadiene,North America,Force majeure declared at Regional Supplier Butadiene unit in North America has removed approximately 427kt/year of capacity from the market. Recovery is expected in 4 weeks. Buyers are seeking altern...,Force majeure declared at Regional Supplier Butadiene unit in North America has removed approximately 427kt/year of capacity from the market. Recovery is expected in 4 weeks. Buyers are seeking alternative sources.,@MARKET_DOCUMENTS/Olefins/2025-11.pdf,John Johnson
76,2025-11-28,MARKET_OUTLOOK,Polymers Market Update: Latin America - November 2025,Wood Mackenzie,Polypropylene Copolymer,Latin America,The Latin America Polypropylene Copolymer market outlook remains stable for the next quarter. Automotive and construction sectors are showing mixed demand signals. Export opportunities to Asia are exp...,The Latin America Polypropylene Copolymer market outlook remains stable for the next quarter. Automotive and construction sectors are showing mixed demand signals. Export opportunities to Asia are expanding.,@MARKET_DOCUMENTS/Polymers/2025-11.pdf,John Chen
77,2025-11-28,EARNINGS_CALL,Polymers Market Update: Latin America - November 2025,IHS Markit,LDPE Injection Grade,Latin America,The spread between LDPE Injection Grade and feedstock naphtha has widened to $260/MT. Producers report margins are improving. Contract negotiations for next quarter are contentious....,The spread between LDPE Injection Grade and feedstock naphtha has widened to $260/MT. Producers report margins are improving. Contract negotiations for next quarter are contentious.,@MARKET_DOCUMENTS/Polymers/2025-11.pdf,Emily Williams
78,2025-11-28,MARKET_OUTLOOK,Intermediates Market Update: Middle East - November 2025,ChemWeek,Methyl Methacrylate,Middle East,Demand for Methyl Methacrylate in Middle East has increased by -4.5% compared to the same period last year. Key end-use sectors driving this trend include packaging and textiles. Inventory levels at c...,Demand for Methyl Methacrylate in Middle East has increased by -4.5% compared to the same period last year. Key end-use sectors driving this trend include packaging and textiles. Inventory levels at converters remain moderate.,@MARKET_DOCUMENTS/Intermediates/2025-11.pdf,Michael Smith
79,2025-11-28,ANALYST_REPORT,Polymers Market Update: Asia Pacific - November 2025,Platts,Polypropylene Homopolymer,Asia Pacific,"Price assessment: Polypropylene Homopolymer CFR Asia Pacific is trading at $904/MT, remained stable $-34/MT from last week. Market participants expect prices to soften in the coming weeks based on fee...","Price assessment: Polypropylene Homopolymer CFR Asia Pacific is trading at $904/MT, remained stable $-34/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2025-11.pdf,Michael Williams
80,2025-11-28,ANALYST_REPORT,Polymers Market Update: Latin America - November 2025,ICIS,Polystyrene GPPS,Latin America,The spread between Polystyrene GPPS and feedstock naphtha has stabilized to $225/MT. Producers report margins are under pressure. Contract negotiations for next quarter are concluded....,The spread between Polystyrene GPPS and feedstock naphtha has stabilized to $225/MT. Producers report margins are under pressure. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Polymers/2025-11.pdf,Sarah Chen
81,2025-12-04,ANALYST_REPORT,Olefins Market Update: North America - December 2025,IHS Markit,Propylene Polymer Grade,North America,"Price assessment: Propylene Polymer Grade CFR North America is trading at $1026/MT, remained stable $-5/MT from last week. Market participants expect prices to strengthen in the coming weeks based on ...","Price assessment: Propylene Polymer Grade CFR North America is trading at $1026/MT, remained stable $-5/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Olefins/2025-12.pdf,Sarah Williams
82,2025-12-04,TRADE_JOURNAL,Polymers Market Update: Middle East - December 2025,ChemWeek,LLDPE C4,Middle East,The spread between LLDPE C4 and feedstock naphtha has stabilized to $338/MT. Producers report margins are under pressure. Contract negotiations for next quarter are concluded....,The spread between LLDPE C4 and feedstock naphtha has stabilized to $338/MT. Producers report margins are under pressure. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Polymers/2025-12.pdf,Emily Smith
83,2025-12-10,SUPPLY_ANALYSIS,Polymers Market Update: Middle East - December 2025,IHS Markit,LDPE Injection Grade,Middle East,Supply constraints for LDPE Injection Grade in Middle East are expected to persist through Q4. Key factors include planned maintenance at 3 major facilities and unexpected outages in the upstream naph...,Supply constraints for LDPE Injection Grade in Middle East are expected to persist through Q4. Key factors include planned maintenance at 3 major facilities and unexpected outages in the upstream naphtha supply chain. Prices have risen 5.7% week-over-week.,@MARKET_DOCUMENTS/Polymers/2025-12.pdf,Emily Williams
84,2025-12-10,MARKET_OUTLOOK,Aromatics Market Update: Asia Pacific - December 2025,Wood Mackenzie,Benzene,Asia Pacific,Consumer demand in Asia Pacific for Benzene-based products has increased following seasonal patterns. Packaging demand is moderate while industrial applications show declining growth....,Consumer demand in Asia Pacific for Benzene-based products has increased following seasonal patterns. Packaging demand is moderate while industrial applications show declining growth.,@MARKET_DOCUMENTS/Aromatics/2025-12.pdf,John Smith
85,2025-12-10,EARNINGS_CALL,Polymers Market Update: Asia Pacific - December 2025,Platts,HDPE Film Grade,Asia Pacific,"Price assessment: HDPE Film Grade CFR Asia Pacific is trading at $1720/MT, increased $51/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedstock movem...","Price assessment: HDPE Film Grade CFR Asia Pacific is trading at $1720/MT, increased $51/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2025-12.pdf,Sarah Williams
86,2025-12-10,EARNINGS_CALL,Polymers Market Update: Asia Pacific - December 2025,Wood Mackenzie,Polypropylene Copolymer,Asia Pacific,"Price assessment: Polypropylene Copolymer CFR Asia Pacific is trading at $1678/MT, remained stable $31/MT from last week. Market participants expect prices to strengthen in the coming weeks based on f...","Price assessment: Polypropylene Copolymer CFR Asia Pacific is trading at $1678/MT, remained stable $31/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2025-12.pdf,John Chen
87,2025-12-16,SUPPLY_ANALYSIS,Intermediates Market Update: North America - December 2025,ICIS,Methyl Methacrylate,North America,Supply constraints for Methyl Methacrylate in North America are expected to persist through Q4. Key factors include planned maintenance at 4 major facilities and unexpected outages in the upstream nap...,Supply constraints for Methyl Methacrylate in North America are expected to persist through Q4. Key factors include planned maintenance at 4 major facilities and unexpected outages in the upstream naphtha supply chain. Prices have risen 7.1% week-over-week.,@MARKET_DOCUMENTS/Intermediates/2025-12.pdf,John Williams
88,2025-12-16,MARKET_OUTLOOK,Intermediates Market Update: Latin America - December 2025,ICIS,Acrylonitrile,Latin America,Demand for Acrylonitrile in Latin America has remained stable by 1.7% compared to the same period last year. Key end-use sectors driving this trend include electronics and textiles. Inventory levels a...,Demand for Acrylonitrile in Latin America has remained stable by 1.7% compared to the same period last year. Key end-use sectors driving this trend include electronics and textiles. Inventory levels at converters remain moderate.,@MARKET_DOCUMENTS/Intermediates/2025-12.pdf,Michael Williams
89,2025-12-22,MARKET_OUTLOOK,Polymers Market Update: Europe - December 2025,Wood Mackenzie,PVC Suspension Grade,Europe,Consumer demand in Europe for PVC Suspension Grade-based products has remained stable following seasonal patterns. Packaging demand is subdued while industrial applications show declining growth....,Consumer demand in Europe for PVC Suspension Grade-based products has remained stable following seasonal patterns. Packaging demand is subdued while industrial applications show declining growth.,@MARKET_DOCUMENTS/Polymers/2025-12.pdf,John Williams
90,2025-12-22,EARNINGS_CALL,Olefins Market Update: Europe - December 2025,Platts,Butadiene,Europe,The spread between Butadiene and feedstock naphtha has widened to $275/MT. Producers report margins are improving. Contract negotiations for next quarter are concluded....,The spread between Butadiene and feedstock naphtha has widened to $275/MT. Producers report margins are improving. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Olefins/2025-12.pdf,Michael Johnson
91,2025-12-28,TRADE_JOURNAL,Polymers Market Update: Asia Pacific - December 2025,ICIS,Polystyrene GPPS,Asia Pacific,The spread between Polystyrene GPPS and feedstock naphtha has narrowed to $375/MT. Producers report margins are under pressure. Contract negotiations for next quarter are concluded....,The spread between Polystyrene GPPS and feedstock naphtha has narrowed to $375/MT. Producers report margins are under pressure. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Polymers/2025-12.pdf,Emily Johnson
92,2025-12-28,SUPPLY_ANALYSIS,Intermediates Market Update: Europe - December 2025,ICIS,Methyl Methacrylate,Europe,Force majeure declared at Global Chemical Co Methyl Methacrylate unit in Europe has removed approximately 175kt/year of capacity from the market. Recovery is expected in 7 weeks. Buyers are seeking al...,Force majeure declared at Global Chemical Co Methyl Methacrylate unit in Europe has removed approximately 175kt/year of capacity from the market. Recovery is expected in 7 weeks. Buyers are seeking alternative sources.,@MARKET_DOCUMENTS/Intermediates/2025-12.pdf,Michael Smith
93,2025-12-28,ANALYST_REPORT,Olefins Market Update: Europe - December 2025,Wood Mackenzie,Propylene Polymer Grade,Europe,"Price assessment: Propylene Polymer Grade CFR Europe is trading at $1011/MT, decreased $36/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movemen...","Price assessment: Propylene Polymer Grade CFR Europe is trading at $1011/MT, decreased $36/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Olefins/2025-12.pdf,Michael Johnson
94,2025-12-28,ANALYST_REPORT,Polymers Market Update: Asia Pacific - December 2025,Goldman Sachs,Polypropylene Homopolymer,Asia Pacific,"Price assessment: Polypropylene Homopolymer CFR Asia Pacific is trading at $1321/MT, decreased $43/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock...","Price assessment: Polypropylene Homopolymer CFR Asia Pacific is trading at $1321/MT, decreased $43/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2025-12.pdf,Michael Smith
95,2025-12-28,MARKET_OUTLOOK,Aromatics Market Update: North America - December 2025,Morgan Stanley,Benzene,North America,The North America Benzene market outlook remains cautious for the next quarter. Automotive and construction sectors are showing weak demand signals. Export opportunities to Europe are limited....,The North America Benzene market outlook remains cautious for the next quarter. Automotive and construction sectors are showing weak demand signals. Export opportunities to Europe are limited.,@MARKET_DOCUMENTS/Aromatics/2025-12.pdf,Sarah Johnson
96,2026-01-03,EARNINGS_CALL,Olefins Market Update: Asia Pacific - January 2026,ICIS,Butadiene,Asia Pacific,The spread between Butadiene and feedstock naphtha has stabilized to $365/MT. Producers report margins are under pressure. Contract negotiations for next quarter are ongoing....,The spread between Butadiene and feedstock naphtha has stabilized to $365/MT. Producers report margins are under pressure. Contract negotiations for next quarter are ongoing.,@MARKET_DOCUMENTS/Olefins/2026-01.pdf,Sarah Smith
97,2026-01-03,TRADE_JOURNAL,Polymers Market Update: Latin America - January 2026,IHS Markit,Polystyrene GPPS,Latin America,The spread between Polystyrene GPPS and feedstock naphtha has narrowed to $379/MT. Producers report margins are under pressure. Contract negotiations for next quarter are contentious....,The spread between Polystyrene GPPS and feedstock naphtha has narrowed to $379/MT. Producers report margins are under pressure. Contract negotiations for next quarter are contentious.,@MARKET_DOCUMENTS/Polymers/2026-01.pdf,John Johnson
98,2026-01-03,TRADE_JOURNAL,Intermediates Market Update: Asia Pacific - January 2026,ChemWeek,Diethylene Glycol,Asia Pacific,The spread between Diethylene Glycol and feedstock naphtha has stabilized to $302/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded....,The spread between Diethylene Glycol and feedstock naphtha has stabilized to $302/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Intermediates/2026-01.pdf,Michael Williams
99,2026-01-03,EARNINGS_CALL,Aromatics Market Update: Latin America - January 2026,Wood Mackenzie,Mixed Xylenes,Latin America,The spread between Mixed Xylenes and feedstock naphtha has stabilized to $234/MT. Producers report margins are improving. Contract negotiations for next quarter are ongoing....,The spread between Mixed Xylenes and feedstock naphtha has stabilized to $234/MT. Producers report margins are improving. Contract negotiations for next quarter are ongoing.,@MARKET_DOCUMENTS/Aromatics/2026-01.pdf,Sarah Williams
100,2026-01-03,MARKET_OUTLOOK,Olefins Market Update: Latin America - January 2026,ChemWeek,Propylene Chemical Grade,Latin America,The Latin America Propylene Chemical Grade market outlook remains stable for the next quarter. Automotive and construction sectors are showing weak demand signals. Export opportunities to Europe are e...,The Latin America Propylene Chemical Grade market outlook remains stable for the next quarter. Automotive and construction sectors are showing weak demand signals. Export opportunities to Europe are expanding.,@MARKET_DOCUMENTS/Olefins/2026-01.pdf,Sarah Chen
101,2026-01-09,MARKET_OUTLOOK,Intermediates Market Update: Middle East - January 2026,ICIS,Methyl Methacrylate,Middle East,Consumer demand in Middle East for Methyl Methacrylate-based products has increased following seasonal patterns. Packaging demand is subdued while industrial applications show declining growth....,Consumer demand in Middle East for Methyl Methacrylate-based products has increased following seasonal patterns. Packaging demand is subdued while industrial applications show declining growth.,@MARKET_DOCUMENTS/Intermediates/2026-01.pdf,Michael Williams
102,2026-01-09,SUPPLY_ANALYSIS,Aromatics Market Update: Latin America - January 2026,ICIS,Mixed Xylenes,Latin America,Supply constraints for Mixed Xylenes in Latin America are expected to persist through Q1. Key factors include planned maintenance at 2 major facilities and unexpected outages in the upstream naphtha s...,Supply constraints for Mixed Xylenes in Latin America are expected to persist through Q1. Key factors include planned maintenance at 2 major facilities and unexpected outages in the upstream naphtha supply chain. Prices have risen 11.3% week-over-week.,@MARKET_DOCUMENTS/Aromatics/2026-01.pdf,John Williams
103,2026-01-09,MARKET_OUTLOOK,Olefins Market Update: Latin America - January 2026,ICIS,Butadiene,Latin America,Consumer demand in Latin America for Butadiene-based products has remained stable following seasonal patterns. Packaging demand is subdued while industrial applications show improving growth....,Consumer demand in Latin America for Butadiene-based products has remained stable following seasonal patterns. Packaging demand is subdued while industrial applications show improving growth.,@MARKET_DOCUMENTS/Olefins/2026-01.pdf,John Chen
104,2026-01-09,TRADE_JOURNAL,Polymers Market Update: Europe - January 2026,ICIS,PVC Suspension Grade,Europe,The spread between PVC Suspension Grade and feedstock naphtha has narrowed to $231/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded....,The spread between PVC Suspension Grade and feedstock naphtha has narrowed to $231/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Polymers/2026-01.pdf,John Smith
105,2026-01-09,EARNINGS_CALL,Olefins Market Update: Latin America - January 2026,Platts,Ethylene,Latin America,"Price assessment: Ethylene CFR Latin America is trading at $1649/MT, remained stable $48/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements...","Price assessment: Ethylene CFR Latin America is trading at $1649/MT, remained stable $48/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Olefins/2026-01.pdf,John Williams
106,2026-01-15,ANALYST_REPORT,Polymers Market Update: Europe - January 2026,Platts,Polystyrene GPPS,Europe,"Price assessment: Polystyrene GPPS CFR Europe is trading at $1361/MT, decreased $-9/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements....","Price assessment: Polystyrene GPPS CFR Europe is trading at $1361/MT, decreased $-9/MT from last week. Market participants expect prices to soften in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2026-01.pdf,Sarah Johnson
107,2026-01-15,MARKET_OUTLOOK,Olefins Market Update: Europe - January 2026,Goldman Sachs,Butadiene,Europe,Demand for Butadiene in Europe has decreased by 2.8% compared to the same period last year. Key end-use sectors driving this trend include electronics and consumer goods. Inventory levels at converter...,Demand for Butadiene in Europe has decreased by 2.8% compared to the same period last year. Key end-use sectors driving this trend include electronics and consumer goods. Inventory levels at converters remain moderate.,@MARKET_DOCUMENTS/Olefins/2026-01.pdf,Emily Johnson
